,model,price,rating,rat1,rat2,processor,processor_core,ram,memory,gpu,resolution,os,warranty
0,Primebook 4G Android Laptop (MediaTek Kompanio 500/ 4GB/ 64GB eMMC/ Android 11),"₹16,990",0,0,26,MediaTek MTK8788,Octa Core,4 GB LPDDR4 RAM,64 GB Hard Disk,ARM Mali G72,"11.6 inches, 1366 x 768 pixels",Android 11 OS,1 Year Warranty
1,HP 15s-fq2717TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹39,990",61,0,0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
2,Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),"₹47,990",66,0,0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Vega 7,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
3,HP Victus 15-Fa0117TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹67,990",73,0,0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
4,Lenovo IdeaPad  82K2022TIN Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹53,990",71,0,0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
5,Xiaomi RedmiBook Pro 15 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹37,990",61,0,0,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8 GB DDR4  RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
6,Infinix INBook Y1 Plus Laptop (10th Gen Core i3/ 8GB/ 256GB SSD/ Win 11 Home),"₹27,490",0,53,0,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",8 GB LPDDR4X RAM,256 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
7,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹43,990",61,0,0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
8,Dell Inspiron 3520 Laptop (12th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win11),"₹56,990",60,0,0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS
9,HP 245 G8 689T3PA Laptop (AMD Ryzen 3 3250U/ 8GB/ 512 GB SSD/ Win11 Home),"₹27,999",0,59,0,3rd Gen AMD Ryzen 3 3250U,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"14 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
10,Primebook 4G Android Laptop (MediaTek Kompanio 500/ 4GB/ 128GB eMMC/ Android 11),"₹18,990",0,0,29,MediaTek MTK8788,Octa Core,4 GB LPDDR4 RAM,128 GB Hard Disk,ARM Mali G72,"11.6 inches, 1366 x 768 pixels",1 Year Warranty,2 USB 3.0 Ports
11,HP 15s-fr4000TU Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹53,490",63,0,0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
12,HP 15-fc0028AU Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),"₹53,400",0,56,0,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
13,Lenovo Legion 5 82RB00K8IN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹1,19,990",86,0,0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
14,HP 15s-du3614TU Laptop (11th Gen Core i3/ 8GB/ 1TB 256 SSD/ Win11 Home),"₹38,490",66,0,0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
15,Lenovo V15 ‎82C70005UK Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹38,390",62,0,0,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
16,Lenovo V15 82KDA01BIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),"₹33,037",63,0,0,5th Gen AMD Ryzen 3 5300U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
17,Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop (AMD Ryzen 5 4600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹49,990",68,0,0,4th Gen AMD Ryzen 5 4600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650 ,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
18,HP 15-fc0025AU Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),"₹39,490",0,55,0,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
19,Asus Chromebook Flip C214MA-BU0704 Laptop (Celeron N4020/ 4GB/ 32GB eMMC/ Chrome OS),"₹14,990",0,0,39,Intel Celeron  N4020,"Dual Core, 2 Threads",4 GB LPDDR4X RAM,32 GB Hard Disk,Intel Integrated UHD 600,"11.6 inches, 1366 x 768 pixels",Chrome OS,1 Year Warranty
20,HP Victus 15-fa0070TX Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹64,990",71,0,0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
21,HP 15s-fq5111TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹58,990",62,0,0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
22,Asus Vivobook 16X 2022 M1603QA-MB511WS Laptop (Ryzen 5-5600H/ 16GB/ 512GB SSD/ Win11 Home),"₹54,990",66,0,0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon Vega 7 Graphics,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
23,Dell Vostro 3510 Laptop (11th Gen Core i3/ 8GB/ 1TB 256GB SSD/ Win11 Home),"₹38,990",61,0,0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS
24,Acer Aspire 7 ‎A715-51G Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹56,990",69,0,0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
25,HP Victus 15-fb0888AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹57,990",69,0,0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
26,Dell Inspiron 3520 D560869WIN9B Laptop (12th Gen Core i3/ 8GB/ 256GB SSD/ Win11),"₹43,900",65,0,0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
27,HP Pavilion 15-eg2091TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹68,918",63,0,0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
28,Samsung Galaxy Book 3 Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹69,990",0,49,0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",8 GB LPDDR5 RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
29,Asus Vivobook 15 2022 X1502ZA-EJ312WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹42,590",60,0,0,12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
30,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB/ MacOS),"₹83,900",0,45,0,Apple M1,Octa Core (4P + 4E),8 GB DDR4 RAM,256 GB SSD,Apple M1 Integrated Graphics,"13.3 inches, 2560 x 1600 pixels",Mac OS,1 Year Warranty
31,HP Victus 15-fb0108AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹67,500",68,0,0,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB AMD Radeon RX 6500M Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
32,MSI Modern 15 B7M-071IN Laptop (Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11),"₹53,990",0,59,0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16 GB ‎DDR4 RAM,1 TB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
33,Samsung Galaxy Book 3 Ultra Laptop (13th Gen Core i9/ 32GB/ 512GB SSD/ Win11/ Nvidia RTX4070),"₹2,29,900",79,0,0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",32 GB LPDDR5 RAM,512 GB SSD,NVIDIA GeForce RTX 4070,"16 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
34,HP 245 G8 3S7L2PA Laptop (AMD Ryzen 3 3250U/ 4GB/ 1TB HDD/ Win11 Home),"₹23,990",0,53,0,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",4 GB DDR4 RAM,1 TB Hard Disk,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
35,Asus Vivobook Pro 16 K6602HC-N1902WS Gaming Laptop (11th Gen Core i9/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹83,990",76,0,0,11th Gen Intel Core i9 11900H,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
36,Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹42,930",61,0,0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
37,Asus VivoBook 14 2022 X1402ZA-MW511WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹63,990",74,0,0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
38,Lenovo E41-55 Laptop (Athlon Pro 3045B/ 8GB/ 256 SSD/ Win11),"₹18,990",0,50,0,AMD Athlon Pro 3045B,"Dual Core, 2 Threads",8 GB DDR4 RAM,256 GB SSD,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
39,Lenovo IdeaPad Gaming 3 15IHU6 82K101B6IN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹53,990",69,0,0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
40,HP Pavilion 15s-eq2182AU Laptop (Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),"₹48,990",61,0,0,5th Gen AMD Ryzen 5  5500U ,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
41,HP Victus 15-fb0040AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹54,500",68,0,0,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
42,Asus TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹85,990",80,0,0,6th Gen AMD Ryzen 7 6800H ,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050 Ti,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
43,Lenovo IdeaPad Gaming 3 82K201ULIN Laptop (Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹68,928",75,0,0,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
44,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB/ MacOS),"₹1,06,990",0,48,0,Apple M2,Octa Core (4P + 4E),8 GB DDR4 RAM,256 GB SSD,8-Core GPU,"13.6 inches, 2560 x 1664 pixels",Mac OS,1 Year Warranty
45,HP Pavilion 15-eg2009TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹63,890",63,0,0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
46,HP 15s-eq2144au Laptop (Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹45,490",61,0,0,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
47,Asus VivoBook K15 OLED KM513UA-L503WS Laptop (Ryzen 5 5500U/ 8GB/ 1TB 256GB SSD/ Win11 Home),"₹49,990",0,59,0,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS
48,MSI Modern 14 C7M-062IN Laptop (Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11),"₹48,990",63,0,0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
49,HP Pavilion x360 14-ek1010TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),"₹79,990",71,0,0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
50,Lenovo Thinkpad E15 21E6S05A00 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹45,990",67,0,0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
51,HP Victus 16-d0311TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹62,990",74,0,0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
52,Lenovo V15 82KBA03HIH Laptop (11th Gen Core i3/ 8GB/ 1TB 256GB SSD/ Win11 Home),"₹40,900",63,0,0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
53,Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹59,990",60,0,0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB LPDDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
54,Asus TUF Gaming F15 FX506LHB-HN358W Gaming Laptop (10th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹49,990",63,0,0,10th Gen Intel Core i5 10200H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
55,Dell Latitude 3430 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Pro),"₹1,08,000",66,0,0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
56,Lenovo E41-55 AMD Laptop (Athlon Pro 3045B/ 8GB/ 1TB HDD/ Win11),"₹20,999",0,45,0,AMD Athlon Pro 3045B,"Dual Core, 2 Threads",8 GB  RAM,1 TB Hard Disk,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
57,Dell Inspiron 5320 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹84,910",65,0,0,12th Gen Intel Core i7 1260P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,Intel Integrated UHD,"13.3 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
58,Asus TUF Dash F15 2022 FX517ZC-HN108WS Gaming Laptop (12th Gen Core i7/ 16GB/1TB SSD/ Win11 Home/ 4GB Graph),"₹90,990",76,0,0,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,1 TB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
59,Lenovo IdeaPad Slim 5 82SF008YIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹68,200",67,0,0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
60,Lenovo IdeaPad Slim 3 82RK0062IN Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹53,990",0,59,0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB  RAM,512 GB SSD,‎Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
61,Lenovo ThinkPad E14 21EBS02L00 Laptop (Ryzen 5 5625U/ 16GB/ 512GB SSD/ Win11 Home),"₹59,990",63,0,0,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",16 GB DDR4  RAM,512 GB SSD,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
62,Asus Vivobook S14 OLED S3402ZA-LY542WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹62,990",67,0,0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
63,Fujitsu FMV MH 4ZR1K10326 Laptop (AMD Ryzen 7 5825U/ 16GB/ 512GB SSD/ Win11),"₹74,990",71,0,0,5th Gen AMD Ryzen 7 5825U,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
64,Fujitsu FMV MH 4ZR1K10325 Laptop (AMD Ryzen 5 5625U/ 16GB/ 512GB SSD/ Win11),"₹54,990",69,0,0,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
65,Acer Nitro 5 AN515-58 2023 Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB 512GB SSD/ Win11/ 4GB Graph),"₹1,08,000",78,0,0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,1 TB Hard Disk,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
66,Asus TUF Gaming A15 FA577RE-HN044WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹94,220",76,0,0,6th Gen AMD Ryzen 7 6800H ,"Octa Core, 16 Threads",16 GB DDR5 RAM,1 TB SSD,4 GB NVIDIA GeForce RTX 3050 Ti,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
67,Asus Vivobook Pro 15 OLED M3500QC-L1712WS Laptop (Ryzen 7 5800H/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹86,885",68,0,0,5th Gen AMD Ryzen 7 5800H ,"Octa Core, 16 Threads",16 GB DDR4  RAM,1 TB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
68,Samsung Galaxy Book 3 360 13 NP730QFG-KA2IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹1,09,990",67,0,0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,Intel Iris Xe Graphics,"13.3 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
69,HP Victus 16-d0310TX Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹59,990",72,0,0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
70,Apple MacBook Pro 16 inch Laptop (M2 Max 12-core CPU/ 32GB/ 1TB SSD/ Mac OS/ 38-core GPU),"₹3,49,900",66,0,0,Apple M2 Max,12 Cores (8P + 4E),32 GB Unified Memory RAM,1 TB SSD,38-core GPU,"16.2 inches, 3456 x 2234 pixels",Mac OS,1 Year Warranty
71,Lenovo IdeaPad Gaming 3 82K101ECIN Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),"₹57,990",72,0,0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
72,Dell Inspiron 3520 D560879WIN9S Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹64,990",67,0,0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB Hard Disk,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS
73,Jio JioBook NB2112QB Netbook (Qualcomm Snapdragon 665/ 2GB/ 32GB eMMC/ JioOS),"₹15,799",0,0,26,Qualcomm  665 665,Octa Core,2 GB LPDDR4X RAM,32 GB Hard Disk,Adreno 610 ,"11.6 inches, 1366 x 768 pixels",1 Year Warranty,1 USB 3.0 Ports
74,Dell Inspiron 3520 D560871WIN9B Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹57,490",0,55,0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
